PGF_00000125	PGF_00000125	pgfam	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 1
PGF_00000144	PGF_00000144	pgfam	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2
PGF_00000146	PGF_00000146	pgfam	FIG00693375: hypothetical protein
PGF_00000158	PGF_00000158	pgfam	FIG00694178: hypothetical protein
PGF_00000188	PGF_00000188	pgfam	FIG00699714: hypothetical protein
PGF_00000192	PGF_00000192	pgfam	FIG00702062: hypothetical protein
PGF_00000206	PGF_00000206	pgfam	FIG00721771: hypothetical protein
PGF_00000215	PGF_00000215	pgfam	FIG00729359: hypothetical protein
PGF_00000261	PGF_00000261	pgfam	8-amino-7-oxononanoate synthase (EC 2.3.1.47)
PGF_00000306	PGF_00000306	pgfam	FIG007491: hypothetical protein YeeN
PGF_00000311	PGF_00000311	pgfam	8-oxoguanine-DNA-glycosylase
PGF_00000344	PGF_00000344	pgfam	FIG00775401: hypothetical protein
PGF_00000356	PGF_00000356	pgfam	FIG00785302: hypothetical protein
PGF_00000365	PGF_00000365	pgfam	FIG00792170: hypothetical protein
PGF_00000416	PGF_00000416	pgfam	A/G-specific adenine glycosylase (EC 3.2.2.-)
PGF_00000681	PGF_00000681	pgfam	FIG00858545: hypothetical signal peptide protein adjacent to bacteriocin resistance protein
PGF_00000886	PGF_00000886	pgfam	FIG00880715: hypothetical protein
PGF_00000936	PGF_00000936	pgfam	FIG00899427: hypothetical protein
PGF_00000939	PGF_00000939	pgfam	Uncharacterized protein YhiN
PGF_00000982	PGF_00000982	pgfam	FIG00907910: hypothetical protein
PGF_00000984	PGF_00000984	pgfam	FIG00567468: TatD-related DNase
PGF_00001005	PGF_00001005	pgfam	FIG009095: D,D-carboxypeptidase family protein
PGF_00001077	PGF_00001077	pgfam	FIG00931065: hypothetical protein
PGF_00001094	PGF_00001094	pgfam	FIG00936810: hypothetical protein
PGF_00001158	PGF_00001158	pgfam	FIG00947911: membrane lipoprotein
PGF_00001178	PGF_00001178	pgfam	FIG00951615: hypothetical protein
PGF_00001179	PGF_00001179	pgfam	FIG00951695: hypothetical protein
