strain	replicate	temp	mumax	r2
1	Bg11-12	OD1	-1	0.032614913544605	0.990021589426158
2	Bg11-12	OD2	-1	0.0312387293945814	0.994008026235605
3	Bg11-12	OD3	-1	0.0284562235443405	0.995424743670899
4	Bg11-12	OD4	-1	0.0259725841991044	0.996908941960755
5	Bg11-12	OD5	-1	0.0279746750871811	0.996599364555264
6	Bg11-12	OD6	-1	0.0274841172656622	0.995874442231475
7	Bg11-12	OD7	-1	0.0319241268937787	0.99405170096939
8	Bg11-12	OD8	-1	0.0341282694893014	0.993032879869196
9	Bg11-12	OD1	4	0.0485689037158165	0.995752006388803
10	Bg11-12	OD2	4	0.0535049836935287	0.923824777494208
11	Bg11-12	OD3	4	0.0521665872485753	0.929516646816047
12	Bg11-12	OD4	4	0.0511008405808879	0.910522181782693
13	Bg11-12	OD5	4	0.0513766347015497	0.906835918980605
14	Bg11-12	OD6	4	0.048629375650896	0.913125308332882
15	Bg11-12	OD7	4	0.051774212798474	0.914270823705571
16	Bg11-12	OD8	4	0.0481481025045197	0.989635594142992
17	Bg11-12	OD1	11	0.0678383028105638	0.984529788505601
18	Bg11-12	OD2	11	0.06764658570162	0.984129825433292
19	Bg11-12	OD3	11	0.0667580884719687	0.980284334081247
20	Bg11-12	OD4	11	0.0666402462586622	0.974941698816395
21	Bg11-12	OD5	11	0.0671804160468781	0.980448389017639
22	Bg11-12	OD6	11	0.0663324931916554	0.978168503778802
23	Bg11-12	OD7	11	0.067201600921955	0.981188266536051
24	Bg11-12	OD8	11	0.0634817829614415	0.976313800329034
25	Bg11-12	OD1	17	0.0475946150902535	0.993032441130802
26	Bg11-12	OD2	17	0.0626594847826582	0.992964571160066
27	Bg11-12	OD3	17	0.0597867222175029	0.99501222056696
28	Bg11-12	OD4	17	0.0612932569654838	0.99548450698342
29	Bg11-12	OD5	17	0.0587231411069971	0.994772085036011
30	Bg11-12	OD6	17	0.0558183695583812	0.995761125187005
31	Bg11-12	OD7	17	0.0593070027558079	0.994276570875721
32	Bg11-12	OD8	17	0.051371965103349	0.997288586458795
33	Bg11-28	OD1	-1	0.0333537814577789	0.996671037392672
34	Bg11-28	OD2	-1	0.0328084647365051	0.995732974829781
35	Bg11-28	OD3	-1	0.03194382116911	0.994133456975084
36	Bg11-28	OD4	-1	0.0376022047768471	0.995374752337852
37	Bg11-28	OD5	-1	0.0336045043222179	0.991467393782309
38	Bg11-28	OD6	-1	0.0300054057650715	0.996574258558425
39	Bg11-28	OD7	-1	0.0328159122036073	0.997674673467913
40	Bg11-28	OD8	-1	0.0316973551724228	0.997275470579907
41	Bg11-28	OD1	4	0.0412035517100783	0.993210548270931
42	Bg11-28	OD2	4	0.0525064674823133	0.928621314134928
43	Bg11-28	OD3	4	0.0406238722704598	0.893009857905231
44	Bg11-28	OD4	4	0.0402197338107127	0.903892620515801
45	Bg11-28	OD5	4	0.043463272647063	0.910536200422791
46	Bg11-28	OD6	4	0.0440181323384349	0.916866999020683
47	Bg11-28	OD7	4	0.0516471071958845	0.920927655712206
48	Bg11-28	OD8	4	0.0416991714274676	0.991753328846261
49	Bg11-28	OD1	11	0.0550188657412984	0.983573259258895
50	Bg11-28	OD2	11	0.0585712229528322	0.983495441348046
51	Bg11-28	OD3	11	0.0623200054057825	0.979775444885286
52	Bg11-28	OD4	11	0.0648208195233424	0.967452460759469
53	Bg11-28	OD5	11	0.0660129887580575	0.971982469285127
54	Bg11-28	OD6	11	0.0625354593809185	0.973669850566818
55	Bg11-28	OD7	11	0.0571239531031299	0.982233385823272
56	Bg11-28	OD8	11	0.0584896871163913	0.976207551168341
57	Bg11-28	OD1	17	0.0128004549328145	0.992893954436924
58	Bg11-28	OD2	17	0.0245759189197125	0.987849770591113
59	Bg11-28	OD3	17	0.0185818326585749	0.986319408553568
60	Bg11-28	OD4	17	0.0214000118315449	0.991423503867926
61	Bg11-28	OD5	17	0.0217984214709608	0.986595825389986
62	Bg11-28	OD6	17	0.0186747497468745	0.990603531283765
63	Bg11-28	OD7	17	0.0151015126513894	0.993772666392856
64	Bg11-28	OD8	17	0.0111834002377983	0.992363140611342
65	BRX10.1	OD1	-1	0.0428807422127164	0.979807443525595
66	BRX10.1	OD2	-1	0.038417914281439	0.968284846904559
67	BRX10.1	OD3	-1	0.0356961932446143	0.974796828516345
68	BRX10.1	OD4	-1	0.0347439064461491	0.96408553356036
69	BRX10.1	OD5	-1	0.0368034374935839	0.966035159971143
70	BRX10.1	OD6	-1	0.0371351957161343	0.970809538709469
71	BRX10.1	OD7	-1	0.0361852029403658	0.960681314434313
72	BRX10.1	OD8	-1	0.0409942684743857	0.993726787471042
73	BRX10.1	OD1	4	0.0519049314928814	0.974365836929729
74	BRX10.1	OD2	4	0.0466979637159515	0.982858710575541
75	BRX10.1	OD3	4	0.0442762421214825	0.979288091242341
76	BRX10.1	OD4	4	0.0396398535427509	0.966450874255293
77	BRX10.1	OD5	4	0.0380879952118769	0.954831269803676
78	BRX10.1	OD6	4	0.0419391776958674	0.983735510341066
79	BRX10.1	OD7	4	0.0468092262395344	0.96286387515241
80	BRX10.1	OD8	4	0.0468838724536874	0.986454873321351
81	BRX10.1	OD1	11	0.0509021423385879	0.990405546773383
82	BRX10.1	OD2	11	0.0489799075407477	0.988239579777851
83	BRX10.1	OD3	11	0.0510627206150919	0.988702227645287
84	BRX10.1	OD4	11	0.0522247193318812	0.987988775776175
85	BRX10.1	OD5	11	0.0531244671798449	0.987984303643705
86	BRX10.1	OD6	11	0.0504127223142845	0.989166410180686
87	BRX10.1	OD7	11	0.0507127471474662	0.986372856652383
88	BRX10.1	OD8	11	0.0478823201397902	0.992779016750041
89	BRX10.1	OD1	17	0.0329109433864935	0.995858252647565
90	BRX10.1	OD2	17	0.0311470719654028	0.995446131976579
91	BRX10.1	OD3	17	0.0379992961241477	0.992177886392642
92	BRX10.1	OD4	17	0.028745194582055	0.994981457789817
93	BRX10.1	OD5	17	0.0513564593664828	0.987319326562713
94	BRX10.1	OD6	17	0.0395680921115363	0.993858937187267
95	BRX10.1	OD7	17	0.0386852889652049	0.991081556521442
96	BRX10.1	OD8	17	0.0353715953955816	0.990653591999402
97	BRX10.2	OD1	-1	0.0443136496292061	0.979851499384188
98	BRX10.2	OD2	-1	0.039193008810052	0.9898046287871
99	BRX10.2	OD3	-1	0.0369433594279865	0.978043265014187
100	BRX10.2	OD4	-1	0.0316646094113155	0.963622298996053
101	BRX10.2	OD5	-1	0.027779160103074	0.97957871009206
102	BRX10.2	OD6	-1	0.0304456819805586	0.987021816017232
103	BRX10.2	OD7	-1	0.0310953046386457	0.978816923131052
104	BRX10.2	OD8	-1	0.0397141551772514	0.983231149814838
105	BRX10.2	OD1	4	0.05573628314419	0.978681993916406
106	BRX10.2	OD2	4	0.0521579767830234	0.97933339080717
107	BRX10.2	OD3	4	0.0441014331809645	0.990534127395721
108	BRX10.2	OD4	4	0.043140207089142	0.972333234740951
109	BRX10.2	OD5	4	0.0428528867966738	0.983986107058577
110	BRX10.2	OD6	4	0.0391409785394953	0.984263096092036
111	BRX10.2	OD7	4	0.0462169283963793	0.971677754373946
112	BRX10.2	OD8	4	0.0525006868904296	0.98553577089693
113	BRX10.2	OD1	11	0.0525476529800835	0.98866422528031
114	BRX10.2	OD2	11	0.0490996887122159	0.986758464074703
115	BRX10.2	OD3	11	0.0499957718714172	0.992198795578517
116	BRX10.2	OD4	11	0.0510006001340002	0.99296159668048
117	BRX10.2	OD5	11	0.0525584951212022	0.991212853306271
